text,sentiment
Last session of the day  http://twitpic.com/67ezh,neutral
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative
 happy bday!,positive
 http://twitpic.com/4w75p - I like it!!,positive
 that`s great!! weee!! visitors!,positive
I THINK EVERYONE HATES ME ON HERE   lol,negative
" soooooo wish i could, but im in school and myspace is completely blocked",negative
 and within a short time of the last clue all of them,neutral
 What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral
My bike was put on hold...should have known that.... argh total bummer,negative
 I checked.  We didn`t win,neutral
 .. and you`re on twitter! Did the tavern bore you that much?,neutral
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative
 Miss you,negative
Cramps . . .,negative
 you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral
Stupid storm. No river for us tonight,negative
My dead grandpa pays more attention to me than you do,negative
"... need retail therapy, bad. AHHH.....gimme money geebus",negative
about to go to sleep,neutral
 you are lame  go make me breakfast!!,negative
 thats so cool,positive
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral
"Huh, another ScarePoint coding Sunday",neutral
 look who I found just for you  --->  http://twitter.com/DJT2009,positive
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative
 guess that depends on if you want to be on the jury,neutral
resorted to eating Mickey Ds ALONE.,neutral
"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral
 did he ask for your Twitter ID? Your sun sign?,neutral
 where`d you go!,neutral
Watching Body of Lies...good film,positive
Happy mothers day mumm  xoxo,positive
So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral
 I`m sorry  at least it`s Friday?,negative
"feels sorry every time I`m printing out, I use like 200 new papers",negative
 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative
 I always forget SOMETHING when I travel. I am at Newark airport.,neutral
Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral
i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral
" Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive
  Hope ur havin fun in da club,positive
i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral
thinks SG is wonderful,positive
  im really sorry i know wallah how u feel this life is shittttttttt,negative
Not happy,negative
Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral
 I`ll oscillate from one to the other.,neutral
I`m so very tired...and have insomnia.,negative
 Thanks Ennio,positive
 you should totally come get me and bring me to kelslaws house with you.,neutral
" You seem nice, you`re generous and you know your stuff",positive
 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral
almost got a kitty yesterday...but it didn`t work out,neutral
"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral
   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive
 i still dont know what we would do though,neutral
"_xo   dang it, so its not certain ? ? ? are you okay?",neutral
Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral
"Dear rain, you suck. Now I gotta change my plans for tonight",negative
at starbucks with my love. eff school. i have work later too.,neutral
I just cried whilst watching hollyoaks  .. i need a life! lol,negative
"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive
Terminator Salvation... by myself.,neutral
" for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative
 Why do I have to enter my registration details every time I update?,neutral
"On the monday, so i wont be able to be with you!  i love you",positive
" Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive
 TGIF is right...I think I broke my toe last night - on my bad foot.,neutral
" Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral
_LaMont yr very young looking dude,positive
": hmmm, wrong link, ignore my tweet",negative
AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative
Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative
" yep, i wish they were all playing dubiln",positive
 im a lady and ladies don`t move couches. they direct where the couches go,neutral
 Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive
 26th February,neutral
Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral
Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive
 Thank you!  I`m working on `s,positive
 lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral
Not feeling all that well today,negative
"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative
_berland LMAO I know I know,neutral
Gnight shar   <(` `<)Vega(>` `)>,neutral
The underwire in my bra is sticking out and poking me in the armpit,negative
Happy Mothers Day!!!,positive
"Yes, I am",neutral
 I can`t call Mitch!  Im from sweden!,neutral
Happy star wars day! May the fourth be with you,positive
was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral
i just watched Marley & Me...i cried so hard!,negative
Take antibacterial to school to clean your hands when you cant go the loos,neutral
